(5, 1, 5)
(61, 34, 71)
(201, 149, 74)
(200, 148, 73)
(45, 48, 63)
(179, 132, 64)
(42, 83, 65)
(202, 153, 72)
(93, 73, 146)
(48, 82, 67)
(93, 72, 145)
(45, 83, 62)
(92, 72, 143)
(0, 0, 1)
(46, 83, 66)
(46, 82, 65)
(205, 153, 72)
(91, 73, 143)
(42, 81, 63)
(202, 150, 74)
(173, 134, 72)
(125, 109, 104)
(67, 58, 56)
(100, 87, 157)
(93, 73, 143)
(186, 138, 67)
(50, 28, 57)
(193, 143, 69)
(202, 153, 75)
(199, 146, 72)
(44, 78, 62)
(191, 140, 70)
(47, 24, 58)
(47, 80, 64)
(55, 32, 62)
(36, 82, 62)
(32, 60, 46)
(22, 9, 23)
(196, 145, 71)
(92, 70, 142)
(44, 24, 53)
(31, 14, 31)
(205, 152, 72)
(205, 152, 77)
(90, 72, 142)
(92, 72, 139)
(15, 4, 23)
(46, 44, 67)
(47, 28, 54)
(92, 75, 143)
(58, 34, 64)
(91, 74, 138)
(202, 152, 76)
(45, 15, 43)
(73, 74, 101)
(37, 72, 55)
(205, 154, 77)
(181, 134, 64)
(172, 126, 60)
(167, 125, 56)
(8, 4, 13)
(34, 64, 49)
(73, 74, 94)
(46, 75, 60)
(176, 129, 63)
(36, 68, 52)
(47, 78, 67)
(69, 48, 103)
(91, 77, 146)
(233, 228, 218)
(10, 8, 14)
(46, 48, 67)
(74, 77, 100)
(24, 5, 5)
(14, 2, 2)
(209, 152, 71)
(33, 17, 34)
(44, 41, 61)
(170, 123, 60)
(38, 79, 60)
(90, 75, 132)
(93, 75, 148)
(41, 29, 51)
(23, 10, 32)
(30, 29, 47)
(61, 41, 92)
(25, 24, 44)
(41, 18, 40)
(206, 155, 72)
(204, 152, 67)
(194, 145, 66)
(232, 225, 217)
(14, 17, 35)
(53, 27, 64)
(184, 136, 66)
(203, 156, 70)
(68, 69, 89)
(11, 9, 22)
(54, 52, 72)
(200, 155, 92)
(15, 8, 41)
(22, 19, 36)
(198, 153, 85)
(195, 151, 94)
(85, 74, 100)
(83, 71, 121)
(90, 72, 133)
(163, 122, 58)
(44, 45, 60)
(23, 14, 23)
(204, 151, 84)
(38, 24, 45)
(39, 14, 36)
(201, 155, 77)
(36, 34, 50)
(33, 11, 8)
(11, 11, 31)
(33, 53, 45)
(100, 86, 116)
(41, 76, 60)
(23, 12, 9)
(39, 36, 58)
(47, 75, 66)
(22, 17, 48)
(94, 79, 150)
(57, 44, 88)
(55, 48, 69)
(181, 133, 67)
(161, 121, 69)
(29, 19, 57)
(60, 32, 71)
(45, 70, 58)
(98, 82, 155)
(172, 129, 60)
(173, 129, 73)
(34, 12, 24)
(159, 118, 58)
(209, 151, 77)
(66, 45, 98)
(59, 38, 70)
(154, 116, 76)
(65, 45, 91)
(137, 100, 66)
(12, 17, 22)
(39, 18, 11)
(54, 32, 70)
(44, 20, 45)
(33, 25, 59)
(202, 150, 69)
(147, 112, 75)
(153, 112, 56)
(60, 61, 78)
(202, 156, 83)
(20, 11, 49)
(196, 148, 68)
(52, 26, 16)
(189, 149, 101)
(176, 132, 60)
(193, 143, 74)
(32, 18, 45)
(94, 82, 109)
(17, 27, 34)
(85, 77, 123)
(64, 39, 25)
(79, 53, 35)
(64, 54, 80)
(189, 142, 63)
(49, 38, 80)
(40, 59, 52)
(56, 45, 79)
(204, 149, 75)
(90, 78, 133)
(73, 62, 88)
(33, 44, 51)
(94, 69, 47)
(44, 52, 64)
(99, 87, 154)
(63, 50, 92)
(162, 122, 82)
(44, 64, 62)
(8, 26, 16)
(49, 70, 67)
(196, 154, 100)
(55, 33, 20)
(63, 60, 88)
(163, 127, 75)
(50, 35, 63)
(148, 118, 87)
(108, 78, 53)
(80, 69, 91)
(121, 82, 52)
(79, 69, 101)
(187, 143, 80)
(14, 35, 23)
(121, 91, 63)
(71, 33, 12)
(136, 108, 79)
(154, 121, 76)
(48, 38, 70)
(166, 127, 87)
(3, 15, 8)
(173, 132, 87)
(66, 53, 100)
(173, 137, 94)
(24, 46, 33)
(50, 33, 48)
(179, 137, 80)
(37, 26, 16)
(169, 125, 71)
(109, 71, 42)
(77, 65, 115)
(88, 78, 108)
(74, 42, 23)
(145, 106, 69)
(44, 30, 67)
(92, 71, 147)
(132, 91, 59)
(165, 131, 88)
(37, 31, 69)
(89, 60, 36)
(190, 154, 107)
(26, 38, 32)
(92, 79, 97)
(125, 98, 73)
(183, 144, 92)
(102, 61, 35)
(52, 40, 63)
(194, 148, 79)
(69, 47, 33)
(25, 34, 46)
(55, 44, 48)
(182, 140, 93)
(53, 76, 66)
(70, 60, 106)
(38, 29, 32)
(179, 146, 106)
(86, 45, 21)
(154, 125, 92)
(193, 146, 90)
(94, 53, 25)
(83, 61, 50)
(59, 21, 6)
(184, 139, 78)
(225, 218, 210)
(109, 86, 65)
(92, 78, 72)
(92, 83, 140)
(163, 133, 104)
(157, 148, 140)
(213, 205, 198)
(104, 95, 89)
(203, 195, 186)
(175, 164, 158)
(189, 181, 174)
(141, 131, 122)
(0, 0, 0)
