(14, 5, 3)
(24, 10, 8)
(28, 15, 17)
(26, 20, 24)
(34, 15, 13)
(38, 20, 14)
(37, 25, 25)
(48, 22, 4)
(55, 38, 22)
(36, 30, 35)
(40, 33, 38)
(55, 37, 39)
(57, 49, 49)
(72, 51, 37)
(82, 60, 43)
(64, 47, 48)
(69, 56, 59)
(66, 44, 32)
(84, 51, 7)
(87, 65, 44)
(87, 69, 50)
(71, 68, 50)
(106, 84, 61)
(100, 76, 55)
(111, 76, 19)
(74, 62, 71)
(76, 67, 71)
(84, 69, 75)
(91, 77, 90)
(92, 81, 90)
(88, 84, 71)
(116, 90, 68)
(101, 93, 85)
(98, 82, 81)
(114, 98, 80)
(116, 109, 110)
(104, 88, 101)
(131, 94, 32)
(150, 111, 46)
(129, 102, 72)
(149, 118, 87)
(143, 112, 77)
(129, 101, 123)
(129, 122, 126)
(175, 136, 51)
(212, 170, 54)
(254, 198, 13)
(253, 199, 24)
(248, 199, 45)
(148, 132, 107)
(203, 154, 86)
(238, 196, 74)
(131, 133, 130)
(151, 148, 151)
(178, 177, 178)
(172, 169, 170)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
(0, 0, 0)
